name,description,price,stock_quantity,image_url,weight,length,width,height,origin_zip,category_id
COLCHÃO TERAPÊUTICO HAIFLEX VITALITY CASAL PADRÃO,"<strong>Colchão VITALITY - Terapêutico –</strong>
\n
\nCasal Padrão 1,38 x 1,88 x 26
\n
\nTerapias disponíveis no Colchão Vitality
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nDespertador
\nTecido Premium
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",10050.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-vitality.jpg,35.0,188,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX VITALITY SOLTEIRO,"<strong>Colchão VITALITY - Terapêutico –</strong>
\n
\nSolteiro 0,88 x 1,88 x 26
\n
\nTerapias disponíveis no Colchão Vitality
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nDespertador
\nTecido Premium
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",8540.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-vitality.jpg,25.0,188,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX VITALITY CASAL QUEEN,"<strong>Colchão VITALITY - Terapêutico</strong>
\n
\nCasal Queen 1,58 x 1,98 x 26
\n
\nTerapias disponíveis no Colchão Vitality
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nDespertador
\nTecido Premium
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",12060.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-vitality.jpg,40.0,198,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX VITALITY CASAL KING,"<strong>Colchão VITALITY - Terapêutico</strong>
\n
\nCasal King 1,93 x 2,03 x 26
\n
\nTerapias disponíveis no Colchão Vitality
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nDespertador
\nTecido Premium
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",14400.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-vitality.jpg,45.0,203,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX STYLE SOLTEIRO,"<strong>Colchão STYLE - Terapêutico –</strong>
\n
\nSolteiro 0,88 x 1,88 x 26
\n
\nTerapias disponíveis no Colchão Style
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nTecido Soft
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",7236.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-style-1.png,25.0,188,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX STYLE CASAL PADRÃO,"<strong>Colchão STYLE - Terapêutico –</strong>
\n
\nCasal Padrão 1,38 x 1,88 x 26
\n
\nTerapias disponíveis no Colchão Style
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nTecido Soft
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",8316.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-style-1.png,35.0,188,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX STYLE CASAL QUEEN,"<strong>Colchão STYLE - Terapêutico –</strong>
\n
\nCasal Queen 1,58 x 1,98 x 26
\n
\nTerapias disponíveis no Colchão Style
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nTecido Soft
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",9630.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-style-1.png,40.0,188,11,26,82820-160,54
"COLCHÃO TERAPÊUTICO HAIFLEX STYLE ""CASAL KING""","<strong>Colchão STYLE - Terapêutico –</strong>
\n
\nCasal King  1,93 x 2,03 x 26
\n
\nTerapias disponíveis no Colchão Style
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nControle
\nTecido Soft
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos",11100.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-style-1.png,45.0,203,11,26,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX PRIME SOLTEIRO,"<strong>Colchão PRIME - Terapêutico - </strong>
\n
\nSolteiro 0,88 x 1.88 x 30 CM
\n
\nTerapias disponíveis no Colchão Prime
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",13870.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-prime-1.jpg,25.0,188,11,30,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX PRIME CASAL PADRÃO,"<strong>Colchão PRIME - Terapêutico - </strong>
\n
\nCasal Padrão 1,38 x 1.88 x 30 CM
\n
\nTerapias disponíveis no Colchão Prime
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",17300.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-prime-1.jpg,35.0,188,11,30,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX PRIME CASAL QUEEN,"<strong>Colchão PRIME - Terapêutico - </strong>
\n
\nCasal Queen 1,58 x 1.98 x 30 CM
\n
\nTerapias disponíveis no Colchão Prime
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",20800.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-prime-1.jpg,40.0,198,11,30,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX PRIME CASAL KING,"<strong>Colchão PRIME - Terapêutico - </strong>
\n
\nCasal King 1,93 x 2,03 x 30 CM
\n
\nTerapias disponíveis no Colchão Prime
\n
\nPillow Top
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",23900.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-prime-1.jpg,45.0,203,11,30,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX REALEZA SOLTEIRO,"<strong>Colchão REALEZA - Terapêutico -</strong>
\n
\nSolteiro 0,88 x 1,88 x 36 cm
\n
\nTerapias disponíveis no Colchão Realeza
\n
\nPillow Top Duplo
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nConexão c/ Alexa
\nConforto Térmico
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",19100.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-realeza.png,25.0,188,11,36,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX REALEZA CASAL PADRÃO,"<strong>Colchão REALEZA - Terapêutico -</strong>
\n
\nCasal Padrão 1,38 x 1,88 x 36 cm
\n
\nTerapias disponíveis no Colchão Realeza
\n
\nPillow Top Duplo
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nConexão c/ Alexa
\nConforto Térmico
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",22950.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-realeza.png,35.0,188,11,36,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX REALEZA CASAL QUEEN,"<strong>Colchão REALEZA - Terapêutico -</strong>
\n
\nCasal Queen 1,58 x 1,98 x 36 cm
\n
\nTerapias disponíveis no Colchão Realeza
\n
\nPillow Top Duplo
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nConexão c/ Alexa
\nConforto Térmico
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",28100.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-realeza.png,40.0,198,11,36,82820-160,54
COLCHÃO TERAPÊUTICO HAIFLEX REALEZA CASAL KING,"<strong>Colchão REALEZA - Terapêutico -</strong>
\n
\nCasal King 1,93 x 2,03 x 36 cm
\n
\nTerapias disponíveis no Colchão Realeza
\n
\nPillow Top Duplo
\nVibromassagem
\nPowerchip®️
\nPerfilado Rabatan
\nInfrapower
\nDensidade Inteligente
\nEnergia Quântica
\nCromoterapia
\nAplicativo
\nControle
\nConexão c/ Alexa
\nConforto Térmico
\nDespertador
\nExtra Conforto
\nTecido Luxo
\nBordado Triplo com Camada de Espuma Siliconada
\nMolas ultra resistente ensacadas e compactadas
\n
\nGarantia 5 anos
\n
\nTecnologias
\nControle
\nAplicativo IOS e Android",32900.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/colchao-realeza.png,45.0,203,11,36,82820-160,54
COLCHÃO TERAPÊUTICO CLASSE A CLASSIC SOLTEIRO,"<strong>COLCHÃO CLASSE A CLASSIC</strong>
\n
\nSolteiro 0,88 x 1,88 x 32
\n
\nTerapias disponíveis no Colchão Classic
\n
\n* COLCHÃO ELÉTRICO COM 32 CM ALTURA, TAMPO EM MALHA 400G, CONFORTO EXTRA FIRME.
\n
\n* ESPUMA PERFILADA DENSIDADE 40, PASTILHADA COM IMÃS E INFRA VERMELHO LONGO, MAIS LÁTEX E ESPUMA D33 MACIA NO PILOW.
\n
\n* ESTRUTURA COM BORDA DE ESPUMA E POLIESTIRENO EXPANDIDO (EPS), COM SUPORTE ATÉ 180KG.
\n
\n* KIT VIBRO MASSAGEM COM 24 ESTÁGIOS E 8 MOTORES, ENERGIA QUÂNTICA E CROMOTERAPIA NO CONTROLE.
\n
\n* SUPORTE DE PESO - ATÉ 180 KG POR PESSOA",6380.0,0,https://classeafaria.com.br/wp-content/uploads/sites/7538/2025/08/1.jpg,25.0,188,11,32,82820-160,54
